"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 02:06:17 GMT 2024","Sun Apr 28 02:06:17 GMT 2024","51","api","tests/api/user.api.test.js","user route","","","delete user by id with success",""
"passed","Sun Apr 28 02:06:05 GMT 2024","Sun Apr 28 02:06:05 GMT 2024","28","api","tests/api/product.api.test.js","product route","","","get all products",""
"passed","Sun Apr 28 02:06:05 GMT 2024","Sun Apr 28 02:06:05 GMT 2024","16","api","tests/api/login.api.test.js","login route","","","login with invalid password",""
"passed","Sun Apr 28 02:06:14 GMT 2024","Sun Apr 28 02:06:14 GMT 2024","52","api","tests/api/user.api.test.js","user route","","","get user by id and validate schema",""
"passed","Sun Apr 28 02:06:10 GMT 2024","Sun Apr 28 02:06:10 GMT 2024","77","api","tests/api/product.api.test.js","product route","","","update a product",""
"passed","Sun Apr 28 02:06:05 GMT 2024","Sun Apr 28 02:06:05 GMT 2024","31","api","tests/api/cart.api.test.js","cart route","","","delete a cart",""
"passed","Sun Apr 28 02:06:11 GMT 2024","Sun Apr 28 02:06:11 GMT 2024","75","api","tests/api/product.api.test.js","product route","","","delete a product",""
"passed","Sun Apr 28 02:06:05 GMT 2024","Sun Apr 28 02:06:05 GMT 2024","35","api","tests/api/login.api.test.js","login route","","","login with valid credentials",""
"passed","Sun Apr 28 02:06:13 GMT 2024","Sun Apr 28 02:06:13 GMT 2024","45","api","tests/api/user.api.test.js","user route","","","create a new user",""
"passed","Sun Apr 28 02:06:11 GMT 2024","Sun Apr 28 02:06:11 GMT 2024","16","api","tests/api/user.api.test.js","user route","","","get all users",""
"passed","Sun Apr 28 02:06:08 GMT 2024","Sun Apr 28 02:06:08 GMT 2024","79","api","tests/api/product.api.test.js","product route","","","get a product by id and validate schema",""
"passed","Sun Apr 28 02:06:18 GMT 2024","Sun Apr 28 02:06:19 GMT 2024","1547","e2e","tests/e2e/example.e2e.test.js","","","","webapp online",""
"passed","Sun Apr 28 02:06:07 GMT 2024","Sun Apr 28 02:06:07 GMT 2024","78","api","tests/api/product.api.test.js","product route","","","create a new product",""
"passed","Sun Apr 28 02:06:16 GMT 2024","Sun Apr 28 02:06:16 GMT 2024","97","api","tests/api/user.api.test.js","user route","","","update user by id with success",""
"passed","Sun Apr 28 02:06:03 GMT 2024","Sun Apr 28 02:06:04 GMT 2024","111","api","tests/api/cart.api.test.js","cart route","","","get created carts",""
"passed","Sun Apr 28 02:06:05 GMT 2024","Sun Apr 28 02:06:05 GMT 2024","85","api","tests/api/cart.api.test.js","cart route","","","get cart by id and validate schema",""
"passed","Sun Apr 28 02:06:13 GMT 2024","Sun Apr 28 02:06:13 GMT 2024","18","api","tests/api/user.api.test.js","user route","","","email already exists",""
"passed","Sun Apr 28 02:06:04 GMT 2024","Sun Apr 28 02:06:04 GMT 2024","28","api","tests/api/cart.api.test.js","cart route","","","create a new cart",""
"passed","Sun Apr 28 02:06:14 GMT 2024","Sun Apr 28 02:06:14 GMT 2024","13","api","tests/api/user.api.test.js","user route","","","get user by id not found",""
"passed","Sun Apr 28 02:06:05 GMT 2024","Sun Apr 28 02:06:05 GMT 2024","10","api","tests/api/login.api.test.js","login route","","","login with invalid email",""
