"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 17:40:34 GMT 2024","Sun Apr 28 17:40:34 GMT 2024","82","api","tests/api/cart.api.test.js","cart route","","","get cart by id and validate schema",""
"passed","Sun Apr 28 17:40:41 GMT 2024","Sun Apr 28 17:40:41 GMT 2024","48","api","tests/api/user.api.test.js","user route","","","create a new user",""
"passed","Sun Apr 28 17:40:34 GMT 2024","Sun Apr 28 17:40:34 GMT 2024","28","api","tests/api/product.api.test.js","product route","","","get all products",""
"passed","Sun Apr 28 17:40:40 GMT 2024","Sun Apr 28 17:40:40 GMT 2024","17","api","tests/api/user.api.test.js","user route","","","get all users",""
"passed","Sun Apr 28 17:40:37 GMT 2024","Sun Apr 28 17:40:37 GMT 2024","75","api","tests/api/product.api.test.js","product route","","","get a product by id and validate schema",""
"passed","Sun Apr 28 17:40:32 GMT 2024","Sun Apr 28 17:40:32 GMT 2024","27","api","tests/api/cart.api.test.js","cart route","","","create a new cart",""
"passed","Sun Apr 28 17:40:32 GMT 2024","Sun Apr 28 17:40:32 GMT 2024","107","api","tests/api/cart.api.test.js","cart route","","","get created carts",""
"passed","Sun Apr 28 17:40:35 GMT 2024","Sun Apr 28 17:40:35 GMT 2024","74","api","tests/api/product.api.test.js","product route","","","create a new product",""
"passed","Sun Apr 28 17:40:34 GMT 2024","Sun Apr 28 17:40:34 GMT 2024","16","api","tests/api/login.api.test.js","login route","","","login with invalid password",""
"passed","Sun Apr 28 17:40:41 GMT 2024","Sun Apr 28 17:40:41 GMT 2024","18","api","tests/api/user.api.test.js","user route","","","email already exists",""
"passed","Sun Apr 28 17:40:38 GMT 2024","Sun Apr 28 17:40:38 GMT 2024","76","api","tests/api/product.api.test.js","product route","","","update a product",""
"passed","Sun Apr 28 17:40:46 GMT 2024","Sun Apr 28 17:40:48 GMT 2024","1411","e2e","tests/e2e/example.e2e.test.js","","","","webapp online",""
"passed","Sun Apr 28 17:40:43 GMT 2024","Sun Apr 28 17:40:43 GMT 2024","51","api","tests/api/user.api.test.js","user route","","","get user by id and validate schema",""
"passed","Sun Apr 28 17:40:44 GMT 2024","Sun Apr 28 17:40:44 GMT 2024","50","api","tests/api/user.api.test.js","user route","","","update user by id with success",""
"passed","Sun Apr 28 17:40:34 GMT 2024","Sun Apr 28 17:40:34 GMT 2024","34","api","tests/api/cart.api.test.js","cart route","","","delete a cart",""
"passed","Sun Apr 28 17:40:46 GMT 2024","Sun Apr 28 17:40:46 GMT 2024","50","api","tests/api/user.api.test.js","user route","","","delete user by id with success",""
"passed","Sun Apr 28 17:40:34 GMT 2024","Sun Apr 28 17:40:34 GMT 2024","33","api","tests/api/login.api.test.js","login route","","","login with valid credentials",""
"passed","Sun Apr 28 17:40:34 GMT 2024","Sun Apr 28 17:40:34 GMT 2024","10","api","tests/api/login.api.test.js","login route","","","login with invalid email",""
"passed","Sun Apr 28 17:40:43 GMT 2024","Sun Apr 28 17:40:43 GMT 2024","12","api","tests/api/user.api.test.js","user route","","","get user by id not found",""
"passed","Sun Apr 28 17:40:40 GMT 2024","Sun Apr 28 17:40:40 GMT 2024","77","api","tests/api/product.api.test.js","product route","","","delete a product",""
