"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 02:19:11 GMT 2024","Sun Apr 28 02:19:11 GMT 2024","16","api","tests/api/login.api.test.js","login route","","","login with invalid password",""
"passed","Sun Apr 28 02:19:09 GMT 2024","Sun Apr 28 02:19:09 GMT 2024","34","api","tests/api/cart.api.test.js","cart route","","","create a new cart",""
"passed","Sun Apr 28 02:19:11 GMT 2024","Sun Apr 28 02:19:11 GMT 2024","31","api","tests/api/cart.api.test.js","cart route","","","delete a cart",""
"passed","Sun Apr 28 02:19:17 GMT 2024","Sun Apr 28 02:19:17 GMT 2024","82","api","tests/api/product.api.test.js","product route","","","delete a product",""
"passed","Sun Apr 28 02:19:20 GMT 2024","Sun Apr 28 02:19:20 GMT 2024","13","api","tests/api/user.api.test.js","user route","","","get user by id not found",""
"passed","Sun Apr 28 02:19:11 GMT 2024","Sun Apr 28 02:19:11 GMT 2024","11","api","tests/api/login.api.test.js","login route","","","login with invalid email",""
"passed","Sun Apr 28 02:19:17 GMT 2024","Sun Apr 28 02:19:17 GMT 2024","14","api","tests/api/user.api.test.js","user route","","","get all users",""
"passed","Sun Apr 28 02:19:21 GMT 2024","Sun Apr 28 02:19:21 GMT 2024","73","api","tests/api/user.api.test.js","user route","","","update user by id with success",""
"passed","Sun Apr 28 02:19:23 GMT 2024","Sun Apr 28 02:19:26 GMT 2024","2517","e2e","tests/e2e/example.e2e.test.js","","","","webapp online",""
"passed","Sun Apr 28 02:19:11 GMT 2024","Sun Apr 28 02:19:11 GMT 2024","36","api","tests/api/login.api.test.js","login route","","","login with valid credentials",""
"passed","Sun Apr 28 02:19:12 GMT 2024","Sun Apr 28 02:19:12 GMT 2024","71","api","tests/api/product.api.test.js","product route","","","create a new product",""
"passed","Sun Apr 28 02:19:23 GMT 2024","Sun Apr 28 02:19:23 GMT 2024","68","api","tests/api/user.api.test.js","user route","","","delete user by id with success",""
"passed","Sun Apr 28 02:19:11 GMT 2024","Sun Apr 28 02:19:11 GMT 2024","35","api","tests/api/product.api.test.js","product route","","","get all products",""
"passed","Sun Apr 28 02:19:20 GMT 2024","Sun Apr 28 02:19:20 GMT 2024","50","api","tests/api/user.api.test.js","user route","","","get user by id and validate schema",""
"passed","Sun Apr 28 02:19:18 GMT 2024","Sun Apr 28 02:19:18 GMT 2024","18","api","tests/api/user.api.test.js","user route","","","email already exists",""
"passed","Sun Apr 28 02:19:09 GMT 2024","Sun Apr 28 02:19:09 GMT 2024","106","api","tests/api/cart.api.test.js","cart route","","","get created carts",""
"passed","Sun Apr 28 02:19:14 GMT 2024","Sun Apr 28 02:19:14 GMT 2024","96","api","tests/api/product.api.test.js","product route","","","get a product by id and validate schema",""
"passed","Sun Apr 28 02:19:15 GMT 2024","Sun Apr 28 02:19:15 GMT 2024","79","api","tests/api/product.api.test.js","product route","","","update a product",""
"passed","Sun Apr 28 02:19:18 GMT 2024","Sun Apr 28 02:19:18 GMT 2024","49","api","tests/api/user.api.test.js","user route","","","create a new user",""
"passed","Sun Apr 28 02:19:10 GMT 2024","Sun Apr 28 02:19:11 GMT 2024","88","api","tests/api/cart.api.test.js","cart route","","","get cart by id and validate schema",""
