"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 21:18:43 GMT 2024","Mon Apr 29 21:18:43 GMT 2024","18","api","tests/api/user.api.test.js","user route","","","email already exists",""
"passed","Mon Apr 29 21:18:39 GMT 2024","Mon Apr 29 21:18:39 GMT 2024","96","api","tests/api/product.api.test.js","product route","","","get a product by id and validate schema",""
"passed","Mon Apr 29 21:18:36 GMT 2024","Mon Apr 29 21:18:36 GMT 2024","24","api","tests/api/login.api.test.js","login route","","","login with valid credentials",""
"passed","Mon Apr 29 21:18:42 GMT 2024","Mon Apr 29 21:18:42 GMT 2024","86","api","tests/api/product.api.test.js","product route","","","delete a product",""
"passed","Mon Apr 29 21:18:58 GMT 2024","Mon Apr 29 21:19:00 GMT 2024","1242","e2e","tests/e2e/login.e2e.test.js","Login tests","","","check required fields",""
"passed","Mon Apr 29 21:18:57 GMT 2024","Mon Apr 29 21:18:58 GMT 2024","1752","e2e","tests/e2e/login.e2e.test.js","Login tests","","","check redirect button to create user url",""
"passed","Mon Apr 29 21:18:34 GMT 2024","Mon Apr 29 21:18:34 GMT 2024","31","api","tests/api/cart.api.test.js","cart route","","","create a new cart",""
"passed","Mon Apr 29 21:19:01 GMT 2024","Mon Apr 29 21:19:03 GMT 2024","1962","e2e","tests/e2e/login.e2e.test.js","Login tests","","","login with success",""
"passed","Mon Apr 29 21:18:42 GMT 2024","Mon Apr 29 21:18:42 GMT 2024","16","api","tests/api/user.api.test.js","user route","","","get all users",""
"passed","Mon Apr 29 21:18:36 GMT 2024","Mon Apr 29 21:18:36 GMT 2024","14","api","tests/api/login.api.test.js","login route","","","login with invalid email",""
"passed","Mon Apr 29 21:18:37 GMT 2024","Mon Apr 29 21:18:37 GMT 2024","75","api","tests/api/product.api.test.js","product route","","","create a new product",""
"passed","Mon Apr 29 21:18:46 GMT 2024","Mon Apr 29 21:18:47 GMT 2024","58","api","tests/api/user.api.test.js","user route","","","update user by id with success",""
"passed","Mon Apr 29 21:18:51 GMT 2024","Mon Apr 29 21:18:55 GMT 2024","4302","e2e","tests/e2e/create-user.e2e.test.js","Create user tests","","","create user",""
"passed","Mon Apr 29 21:18:34 GMT 2024","Mon Apr 29 21:18:34 GMT 2024","119","api","tests/api/cart.api.test.js","cart route","","","get created carts",""
"passed","Mon Apr 29 21:18:40 GMT 2024","Mon Apr 29 21:18:40 GMT 2024","81","api","tests/api/product.api.test.js","product route","","","update a product",""
"passed","Mon Apr 29 21:18:36 GMT 2024","Mon Apr 29 21:18:36 GMT 2024","20","api","tests/api/login.api.test.js","login route","","","login with invalid password",""
"passed","Mon Apr 29 21:19:00 GMT 2024","Mon Apr 29 21:19:01 GMT 2024","1293","e2e","tests/e2e/login.e2e.test.js","Login tests","","","login with invalid password",""
"passed","Mon Apr 29 21:18:43 GMT 2024","Mon Apr 29 21:18:43 GMT 2024","49","api","tests/api/user.api.test.js","user route","","","create a new user",""
"passed","Mon Apr 29 21:18:55 GMT 2024","Mon Apr 29 21:18:57 GMT 2024","1290","e2e","tests/e2e/create-user.e2e.test.js","Create user tests","","","email already exists",""
"passed","Mon Apr 29 21:18:49 GMT 2024","Mon Apr 29 21:18:51 GMT 2024","1629","e2e","tests/e2e/create-user.e2e.test.js","Create user tests","","","check required fields",""
"passed","Mon Apr 29 21:18:48 GMT 2024","Mon Apr 29 21:18:48 GMT 2024","76","api","tests/api/user.api.test.js","user route","","","delete user by id with success",""
"passed","Mon Apr 29 21:18:36 GMT 2024","Mon Apr 29 21:18:36 GMT 2024","39","api","tests/api/product.api.test.js","product route","","","get all products",""
"passed","Mon Apr 29 21:18:45 GMT 2024","Mon Apr 29 21:18:45 GMT 2024","14","api","tests/api/user.api.test.js","user route","","","get user by id not found",""
"passed","Mon Apr 29 21:18:35 GMT 2024","Mon Apr 29 21:18:35 GMT 2024","114","api","tests/api/cart.api.test.js","cart route","","","get cart by id and validate schema",""
"passed","Mon Apr 29 21:18:45 GMT 2024","Mon Apr 29 21:18:45 GMT 2024","54","api","tests/api/user.api.test.js","user route","","","get user by id and validate schema",""
"passed","Mon Apr 29 21:18:35 GMT 2024","Mon Apr 29 21:18:35 GMT 2024","30","api","tests/api/cart.api.test.js","cart route","","","delete a cart",""
