"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 01:27:53 GMT 2024","Mon Apr 29 01:27:55 GMT 2024","1276","e2e","tests/e2e/create-user.e2e.test.js","Create user tests","","","email already exists",""
"passed","Mon Apr 29 01:27:39 GMT 2024","Mon Apr 29 01:27:39 GMT 2024","78","api","tests/api/product.api.test.js","product route","","","delete a product",""
"passed","Mon Apr 29 01:27:45 GMT 2024","Mon Apr 29 01:27:45 GMT 2024","52","api","tests/api/user.api.test.js","user route","","","delete user by id with success",""
"passed","Mon Apr 29 01:27:33 GMT 2024","Mon Apr 29 01:27:33 GMT 2024","31","api","tests/api/login.api.test.js","login route","","","login with valid credentials",""
"passed","Mon Apr 29 01:27:36 GMT 2024","Mon Apr 29 01:27:36 GMT 2024","77","api","tests/api/product.api.test.js","product route","","","get a product by id and validate schema",""
"passed","Mon Apr 29 01:27:49 GMT 2024","Mon Apr 29 01:27:53 GMT 2024","4234","e2e","tests/e2e/create-user.e2e.test.js","Create user tests","","","create user",""
"passed","Mon Apr 29 01:27:42 GMT 2024","Mon Apr 29 01:27:42 GMT 2024","52","api","tests/api/user.api.test.js","user route","","","get user by id and validate schema",""
"passed","Mon Apr 29 01:27:32 GMT 2024","Mon Apr 29 01:27:32 GMT 2024","87","api","tests/api/cart.api.test.js","cart route","","","get cart by id and validate schema",""
"passed","Mon Apr 29 01:27:32 GMT 2024","Mon Apr 29 01:27:33 GMT 2024","39","api","tests/api/cart.api.test.js","cart route","","","delete a cart",""
"passed","Mon Apr 29 01:27:31 GMT 2024","Mon Apr 29 01:27:31 GMT 2024","105","api","tests/api/cart.api.test.js","cart route","","","get created carts",""
"passed","Mon Apr 29 01:27:39 GMT 2024","Mon Apr 29 01:27:39 GMT 2024","17","api","tests/api/user.api.test.js","user route","","","get all users",""
"passed","Mon Apr 29 01:27:40 GMT 2024","Mon Apr 29 01:27:40 GMT 2024","20","api","tests/api/user.api.test.js","user route","","","email already exists",""
"passed","Mon Apr 29 01:27:37 GMT 2024","Mon Apr 29 01:27:37 GMT 2024","95","api","tests/api/product.api.test.js","product route","","","update a product",""
"passed","Mon Apr 29 01:27:31 GMT 2024","Mon Apr 29 01:27:31 GMT 2024","27","api","tests/api/cart.api.test.js","cart route","","","create a new cart",""
"passed","Mon Apr 29 01:27:33 GMT 2024","Mon Apr 29 01:27:33 GMT 2024","36","api","tests/api/product.api.test.js","product route","","","get all products",""
"passed","Mon Apr 29 01:27:46 GMT 2024","Mon Apr 29 01:27:49 GMT 2024","2954","e2e","tests/e2e/create-user.e2e.test.js","Create user tests","","","check required fields",""
"passed","Mon Apr 29 01:27:33 GMT 2024","Mon Apr 29 01:27:33 GMT 2024","12","api","tests/api/login.api.test.js","login route","","","login with invalid email",""
"passed","Mon Apr 29 01:27:33 GMT 2024","Mon Apr 29 01:27:33 GMT 2024","18","api","tests/api/login.api.test.js","login route","","","login with invalid password",""
"passed","Mon Apr 29 01:27:42 GMT 2024","Mon Apr 29 01:27:42 GMT 2024","13","api","tests/api/user.api.test.js","user route","","","get user by id not found",""
"passed","Mon Apr 29 01:27:43 GMT 2024","Mon Apr 29 01:27:43 GMT 2024","86","api","tests/api/user.api.test.js","user route","","","update user by id with success",""
"passed","Mon Apr 29 01:27:40 GMT 2024","Mon Apr 29 01:27:40 GMT 2024","45","api","tests/api/user.api.test.js","user route","","","create a new user",""
"passed","Mon Apr 29 01:27:34 GMT 2024","Mon Apr 29 01:27:34 GMT 2024","69","api","tests/api/product.api.test.js","product route","","","create a new product",""
