"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 02:12:16 GMT 2024","Sun Apr 28 02:12:16 GMT 2024","46","api","tests/api/user.api.test.js","user route","","","create a new user",""
"passed","Sun Apr 28 02:12:19 GMT 2024","Sun Apr 28 02:12:20 GMT 2024","51","api","tests/api/user.api.test.js","user route","","","update user by id with success",""
"passed","Sun Apr 28 02:12:07 GMT 2024","Sun Apr 28 02:12:07 GMT 2024","30","api","tests/api/cart.api.test.js","cart route","","","create a new cart",""
"passed","Sun Apr 28 02:12:16 GMT 2024","Sun Apr 28 02:12:16 GMT 2024","21","api","tests/api/user.api.test.js","user route","","","email already exists",""
"passed","Sun Apr 28 02:12:09 GMT 2024","Sun Apr 28 02:12:09 GMT 2024","29","api","tests/api/cart.api.test.js","cart route","","","delete a cart",""
"passed","Sun Apr 28 02:12:09 GMT 2024","Sun Apr 28 02:12:09 GMT 2024","15","api","tests/api/login.api.test.js","login route","","","login with invalid password",""
"passed","Sun Apr 28 02:12:18 GMT 2024","Sun Apr 28 02:12:18 GMT 2024","70","api","tests/api/user.api.test.js","user route","","","get user by id and validate schema",""
"passed","Sun Apr 28 02:12:21 GMT 2024","Sun Apr 28 02:12:23 GMT 2024","1440","e2e","tests/e2e/example.e2e.test.js","","","","webapp online",""
"passed","Sun Apr 28 02:12:09 GMT 2024","Sun Apr 28 02:12:09 GMT 2024","28","api","tests/api/product.api.test.js","product route","","","get all products",""
"passed","Sun Apr 28 02:12:09 GMT 2024","Sun Apr 28 02:12:09 GMT 2024","22","api","tests/api/login.api.test.js","login route","","","login with valid credentials",""
"passed","Sun Apr 28 02:12:10 GMT 2024","Sun Apr 28 02:12:10 GMT 2024","69","api","tests/api/product.api.test.js","product route","","","create a new product",""
"passed","Sun Apr 28 02:12:07 GMT 2024","Sun Apr 28 02:12:07 GMT 2024","110","api","tests/api/cart.api.test.js","cart route","","","get created carts",""
"passed","Sun Apr 28 02:12:09 GMT 2024","Sun Apr 28 02:12:09 GMT 2024","14","api","tests/api/login.api.test.js","login route","","","login with invalid email",""
"passed","Sun Apr 28 02:12:09 GMT 2024","Sun Apr 28 02:12:09 GMT 2024","104","api","tests/api/cart.api.test.js","cart route","","","get cart by id and validate schema",""
"passed","Sun Apr 28 02:12:21 GMT 2024","Sun Apr 28 02:12:21 GMT 2024","52","api","tests/api/user.api.test.js","user route","","","delete user by id with success",""
"passed","Sun Apr 28 02:12:12 GMT 2024","Sun Apr 28 02:12:12 GMT 2024","91","api","tests/api/product.api.test.js","product route","","","get a product by id and validate schema",""
"passed","Sun Apr 28 02:12:15 GMT 2024","Sun Apr 28 02:12:15 GMT 2024","15","api","tests/api/user.api.test.js","user route","","","get all users",""
"passed","Sun Apr 28 02:12:18 GMT 2024","Sun Apr 28 02:12:18 GMT 2024","13","api","tests/api/user.api.test.js","user route","","","get user by id not found",""
"passed","Sun Apr 28 02:12:13 GMT 2024","Sun Apr 28 02:12:13 GMT 2024","79","api","tests/api/product.api.test.js","product route","","","update a product",""
"passed","Sun Apr 28 02:12:15 GMT 2024","Sun Apr 28 02:12:15 GMT 2024","76","api","tests/api/product.api.test.js","product route","","","delete a product",""
